park_id	park_name	park_reg_code	address	lat_lng	city	park_level	park_type	info_16_p_1	main_industry	brief_introduction
48	四川达州普光经济开发区	S517112	四川省达州市宣汉县开平路四川达州普光开发区柳池工业园	107.694091,31.434736	达州市	省级园区	经开区	智能装备,绿色化工,新材料	天然气化工、建材、新材料产业	四川达州普光经济开发区位于达州市宣汉县，是达州市重要经济增长极，地处成都、重庆、西安、万州、达州等大中城市腹心地带。成立于2008年8月，于2018年2月审核通过“省级经济技术开发区公告目录”，8月获省级开发区公示；管辖面积29.34平方公里，规划面积18.01平方公里，四至范围：区块一东至张家河,南至高速路，西至园坦子，北至黄家湾、邱家湾；区块二东至新马一库，南至曾家山，西至宣双路西山，北至宣柳路南侧；区块三东至凉水井水库，南至范家山，西至柳池敬老院，北至新马二库。经开区按产城一体与城市规划建设，配套建设有110KV变电站、污水处理厂、科技孵化器、人才公寓等基础设施。截止2018年底,园区聚集工业企业69户，其中规上工业企业23户，2018年园区规上工业企业工业产值126.42亿元，同比增长16.87%，营业收入108.85亿元，同比增长16.24%，实现利润29.33亿元，同比增长44.66%。园区先后被授予全省“51025”重点产业园区500亿元量级培育园区，四川省生产性服务业功能示范园区和“园保贷”项目试点园区。
49	四川达州经济开发区	S517031	达州市达川区S218与汇通大道东段交叉路口往西南约140米	107.501123,31.14229	达州市	省级园区	经开区	智能装备,新能源与智能汽车,新材料,集成电路与新型显示	能源、化工、机械产业	达州经开区于2001年2月成立，2003年3月省计委确认为省级经济技术开发区。2013年，经四川省人民政府批复（批复文号：川府函[2013]114号）扩区调位，扩区调位后，核准四至范围为东至达渝高速，南至铜钵河，西至州河，北至火烽山、大尖子山，面积为30平方公里o管理面积143平方公里,辖2个乡，人口10万人，首期开发面积55平方公里，建成区面积20平方公里。达州经开区按照产城融合发展的规划，目前，已建成60公里园区道路；年吞吐量700万吨及5000个集装箱标箱的公路物流港、年运输能力1200万吨的铁路专用线；建成年输气能力30亿方的中石化达化专线、年输气能力5亿方的中石油清达线；建成10万吨工业供水厂、2万吨工业废水处理厂；2座220kV变电站、3座110kV变电站；建成特勤消防站和矿山（危化）救援大队；正在建设达州市第二生活污水处理厂、300MV集中供电供冷供热分布式能源系统和年输气能力30亿方的中石油北外环线；建成安置房（棚改）约25万平方米、标准厂房20万平方米，完成“三通一平”场平约10000亩；长田新区开发建设取得实质突破，堰坝新区建设已全面启动。已实现了水、电、气、路、通讯、网络、有线电视和场地平整等“八通一平”。截止2018年底，园区集聚工业企业310户，其中规上工业企业57户，2018年园区实现地区生产总值125亿元，规上工业总产值401亿元，税收32亿元。园区先后被授予国家新型工业化产业示范基地、国家低碳工业试点园区、国家循环化改造示范试点园区、国家节能标准化示范区、四川省“51025”园区发展计划干亿培育园区，且经开区已纳入国开区培育名录名单。
50	德阳高新技术产业开发区	G512142	德阳市广汉市长白山路1号	104.361661,31.133817	德阳市	国家级园区	高新区	智能装备,新一代网络技术	通用航空、医药、食品产业	德阳高新技术产业开发区（以下简称“德阳高新区”）位于德阳市广汉市，位于广汉南部，属“成渝经济圈”和“成绵德高新技术产业带”中心地段，成立于2015年9月，其前身是1991年成立的四川广汉经济开发区，2015年经国务院批复升级为国家高新技术产业开发区。距双流国际机场50公里、青白江国际物流7公里、成都主城区24公里、德阳市区19公里，拥有“南融成都、北接德阳”的得天独厚区位优势。德阳高新区规划面积68平方公里，其中建成区28平方公里，扩展区规划面积40平方公里。扩展区四至边界为东至旌江干线、南至德阳市界、西至成绵高速公路、北至鸭子河南岸；建成区四至范围为东至成绵高速，西至大件路，北至南昌路，南到青白江界。园区已建成道路总长66.7公里，形成“两环五横六纵”路网系统。拥有日处理污水能力5万吨的污水处理厂两座；建成日供水能力6万立方米的主管网；220kv变电站1座、110kv变电站4座；天然气配气站4座，日供气能力达25万立方米。园区致力于打造“产城一体”发展示范区，以现代物流及现代商贸为主的服务业聚集区。区内规划建设有1个综合管理服务中心、4个居住商务服务片区，商贸中心、物流中心、科研中心、酒店、学校、医院等配套设施齐全。截止2018年底，园区聚集工业企业412户，其中规上工业企业155户，2018年园区规上工业企业工业产值699.1亿元，同比增长11.33%,实现利润41.5亿元，同比增长49%。园区先后被授予“国家新型工业化产业示范基地”、“全国首批产业集群区域品牌试点地区”、“中国•广汉石油装备制造基地”、“四川省首批特色高新技术产业化基地”、“四川中药现代化科技产业示范基地”、“通用航空创新型产业集群”试点，是四川省“51025重点产业园区”，被确定为“海峡两岸产业合作区”德阳产业园承接主体，四川省科技成果转移转化示范园区。
51	德阳-阿坝生态经济产业园区	S519063	四川省德阳市绵竹市汉霞路5号	104.192775,31.437614	德阳市	省级园区	经开区	新能源与智能汽车,新材料	新材料、能源、磷化工产业	德阳阿坝生态经济产业园区位于德阳市绵竹市汉旺镇，是阿坝州重要经济增长极，也是绵竹市经济转型和高质量发展的主要支撑，地处成渝经济圈和成德绵同城化的重要节点，也是进入川藏高原的桥头堡。德阳阿坝生态经济产业园区成立于2015年5月，规划面积20平方公里，建成区面积3.92平方公里。四至范围：区块一东至官堰，南至绵远路，西起迎宾大道，北起兴邦路；区块二东至汉兴路，南至绵远路，西起汉凌路，北起兴邦路；区块三东至汉兴路，南至公园路，西起迎宾大道，北起绵远路；区块四东至绵拱路，南至绵远河，西起祥柳村、北起一支渠。园区有110千伏变电站2座、35千伏变电站1座，日供气3万方的供气站、日供水1万方的自来水厂、日处理2000吨的污水处理厂和日处理200吨的垃圾处理厂，天然气管线、道路管网等基础设施基本完备。园区连接国省干线、高速公路的货运通道已基本完成。截止2018年底，园区聚集工业企业38户，其中规上工业企业9户，2018年园区规上工业企业工业产值30.6亿元，实现利润0.1亿元。
52	成德工业园区（凯州新城）	---	德阳市中江县金汇路二段兴隆中学东南侧约200米	104.607548,30.87789	德阳市	其他重点园区	工业园区	新一代网络技术,软件与信息服务,医药健康	电子信息、生物医药、家居轻纺产业	成德工业园区（凯州新城）位于中江县兴隆镇、辑庆镇区域，与淮洲新城相邻，距离成都市区48公里、中江城区15公里，属于成德绵经济圈重要节点城市。成立于2013年9月，由成都市、德阳市合作共建。远期规划面积不低于85平方公里，中长期规划面积33平方公里，起步区10平方公里，建成区面积7平方公里。四至界限为：以成德南高速为轴线，北至辑庆镇永远村、中兴社区、响井社区；南至中江县与金堂县交界处；西至辑庆镇引泉社区、联丰社区，兴隆镇兴隆村、新湾村；东至兴隆镇磨子桥村、柑园村、辑庆镇飞龙社区、祝家庙社区。截至2018年底，园区累计投入基础设施建设资金12亿元，基本建成了"四纵四横”的园区骨干路网，以及水、电、气、排污管网，形成了“北上、南下、东进、西拓”的物流通道和园区要素保障体系。园区建成道路26公里、安置房24.5万平方米、雨污管网70余公里、容量为100MW的110KV变电站1座、容量为20MW的35KV变电站1座、供电线路33公里、给水管网22公里、供气管网20公里'日处理污水3000吨的污水处理厂1座、日处理污水4000吨的污水处理厂1座。截止2018年底，园区聚集工业企业91户，其中规上工业企业41户，2018年园区规上工业企业工业产值111.9亿元，同比增长50.2%，营业收入105.6亿元，同比46.3%,实现利润8.5亿元，同比增长80.9%。
53	四川绵竹高新技术产业园区	S517062	德阳市绵竹市常顺路1号	104.232652,31.306083	德阳市	省级园区	高新区	绿色化工,新材料,农产品精深加工,医药健康	新材料、建材、医药、装备制造产业	四川绵竹高新技术产业园区位于德阳市绵竹市，是绵竹市重要经济增长极，地处成渝经济圈和成德绵高新技术产业带。于2009年年初开始规划，2010年5月经省政府批准成立省级经济开发区，2018年［月3日由四川省人民政府批准转型的省级高新区。规划控制面积22平方公里，建成区面积约14平方公里。规划控制区四至范围：北毗邻绵竹市主城区，西临成青公路，南至成什绵高速公路和成兰铁路，东靠德天铁路为界。高新区按城市规划建设，配套建设有日处理2万吨工业污水处理厂1座；日处理5万吨城市污水处理厂1座；超磁应急污水处理站1处；日供生活用水6万立方米自来水厂1座；110KV变电站3座；10万立方米/天和20万立方米/天的燃气配气站各1座。截止2018年底，园区聚集工业企业165户，其中规上工业企业62户,2018年园区规上工业企业工业产值384.1亿元，同比增长10%,营业收入321.3亿元，同比增长9.7%,实现利润66.6亿元，同比增长57.9%。园区先后被授予“1525工程”成长型特色产业园区、“51025”工程培育园区、“工业强县示范（市）”、“四川扩权强县的试点县（市）”、“全国科技进步先进市”、“全国城乡一体化示范县（市）”。
54	四川德阳旌阳高新技术产业园区	---	德阳市旌阳区长白山路1号	104.362556,31.134607	德阳市	省级园区	高新区	新能源与智能汽车,新材料,新一代网络技术,软件与信息服务	新材料、新能源汽车、电子信息产业	四川德阳旌阳高新技术产业园区位于德阳市旌阳区，是德阳市重要经济增长极，地处成渝经济圈和成德绵高新技术产业带。旌阳高新区前身为德阳市中区经济开发区，1993年3月经四川省计委正式批准为省级经济开发区，2013年4月经四川省人民政府批准成立省级高新区。近期控规面积为24.3平方公里，远期规划面积37.1平方公里，建成区面积18.5平方公里。四至范围：（东至宝成铁路，西至成德大道（天星干道），南至石亭江，北至德天线（德阳市至绵竹天池铁路专线）。旌阳高新区已建成市政道路110公里，“四纵四横”的交通网络已形成；建有日供水能力3万吨的自来水厂1座，日处理2.5万吨污水处理厂1座，220KV变电站1座，110KV变电站2座，天然气配气站3座（日供气能力150万立方米），建成污水管网128公里，自来水管网71公里，燃气管道58公里，水、电、气等市政配套管线覆盖面积24.3平方公里。建成安置房79万平方米，生活市场2个，专业市场4个，中小学校4所，医院2所；建成电信分局1个，开通16000门程控电话，移动电话发射塔、宽带信息网络覆盖园区全部区域。截止2018年底，园区聚集工业企业517户，其中规上工业企业155户，2018年园区规上工业企业工业产值370.3亿元，同比增长16%,营业收入365.3亿元，同比增长17%,实现利润23.9亿元，同比增长20.2%。旌阳高新区先后被列为全国西部电线电缆生产基地、全国装备电缆及电气配套产业知名品牌创建示范区、省级“1525”工程百亿园区和“51025”工程五百亿重点产业园区、中小企业创业基地、知识产权试点园区、人才优先发展试验区产业示范点和外贸发展示范基地。
55	广汉工业集中发展区	---	四川省德阳市广汉市小汉镇G108	104.349857,31.066176	德阳市	其他重点园区	工业园区	新材料,新一代网络技术,软件与信息服务,医药健康	数字经济、新材料、医药食品产业	广汉工业集中发展区地处广汉市小汉镇，前身为小汉工业园区。2017年3月经德阳市编委、广汉市委编办批复正式成立。园区规划建设13平方公里，已建成6.2平方公里，下一步将扩区至26.7平方公里，分为配套区、工业发展区和物流仓储区的三大功能区。四至范围：北起柳林村，南至团结村，西起小南村，东至石亭江。区内配套有一级消防站1座、110kv变电站2座、天然气配气站2座、污水处理厂2座，日供水5万吨的自来水管网及配套设施。2018年工业集中区实施基建项目24个，总投资3.28亿元，其中14条道路将在2019年春节前全面竣工，届时园区内骨架路网将基本成形。截止2018年底，园区聚集工业企业268户，其中规上工业企业83户，2018年园区规上工业企业工业产值162.88亿元，同比增长10.26%,实现利润8.65亿元，同比增长25.19%。园区于2018年10月，在省级职业健康示范园区验收评审中以91.18的高分成为全省唯一个一次性通过的工业园区。
56	四川中江高新技术产业园区	S518059	四川省德阳市中江县经开区东西干道	104.661416,31.065228	德阳市	省级园区	高新区	医药健康	新材料、电子信息、医药产业	四川中江高新技术产业园区成立于2005年3月，位于德阳市中江县南华镇。2012年6月5B,省人民政府批准设立四川中江经济开发区；2015年7月7B,省人民政府将四川中江经济开发区认定为省级高新技术产业园区，定名为四川中江高新技术产业园区。园区规划面积14.3平方公里，建成区面积11平方公里。规划控制区四至范围是：东临凯江河，西临城市外环路，南接南渡村猫儿嘴，北部与杰兴大桥相接。园区累计完成基础设施投资18.9亿元，建成骨干路网47公里，供水管网31公里，雨污管网94.3公里、10KV供电线路54公里、供气管网39.4公里、日处理污水能力为10000吨污水处理厂一座。截止2018年底，园区聚集工业企业273户，其中规上工业企业126户，2018年园区规上工业企业工业产值347.7亿元，同比增长15%,营业收入329.3亿元，同比增长12.5%,实现利润25.2亿元，同比增长32.8%。2011年7月，被列入全省成长型特色产业园区（“1525工程“）；2013年通过了IS09000质量体系和ISO14000环境体系认证；2014年被列入“省级知识产权试点园区”；2017年被国家六部委列入电子信息产业集群发展“国家计划”，是“长江经济带电子信息产业集聚发展区”、“全国农产品加工业示范基地”、“省级知识产权试点园区”、“四川省招商引资承接产业转移的优秀园区”。
57	四川罗江经济开发区	S517060	德阳市罗江区红玉路与108国道交叉口东北150米	104.54192,31.380152	德阳市	省级园区	经开区	新材料	新材料、电子信息、机械产业	四川罗江经济开发区位于德阳市罗江区，是德阳市重要经济增长极，地处成渝经济圈和成德绵高新技术产业带。成立于2011年3月，于2012年12月获批省级开发区，规划面积30平方公里,建成区面积10平方公里。四至范围：东至成绵高速路，南至青红路，西至创新路，北至福山路北段。经开区按产城一体与城市规划建设，配套建设有110KV变电站、污水处理厂、科技孵化器、人才公寓等基础设施。截止2018年底，园区聚集工业企业243户，其中规上工业企业128户，2018年园区规上工业企业工业产值380.5亿元，同比增长20%,营业收入356.67亿元，同比增长21.46%，实现利润6.23亿元，同比增长27.4%。园区先后被授予“省级经济开发区”、“德阳金山军民融合产业园”、“德阳国家高新技术开发区北区”。
58	德阳经济技术开发区	G511191	德阳市旌阳区松花江北路银鑫·五洲广场	104.396688,31.108725	德阳市	国家级园区	经开区	智能装备	装备制造、新能源、新材料产业	德阳经济技术开发区（以下简称“德阳经开区”）成立于1992年8月，2010年6月升级为国家级经济技术开发区，幅员面积79.2平方公里，建成区面积42平方公里，常住人口35.5万人，位于成渝经济区核心和四丿11省成德绵阳经济带中部,距省会成都42公里,是德阳市重要的经济增长极。园区四至范围为：“河东片区”东至新沟村，南至乐安村、隆圣村，西至绵远河，北至岷江东路；“八角片区”东至柳沙村，南至梨园村、柳凤村，西至双榕村，北至双榕村、柳沙村、成绵高速路。德阳经开区按照产城一体与城市规划建设，配套建设有110kv变电站、污水处理厂、科技孵化器等基础设施，园区内“八横八纵”路网交织，通讯、光缆、供水、供电、供气、雨污管线等统筹规划、科学布置，当前正以“创新、协调、绿色、开放、共享”为发展理念，以打造德阳市全面创新改革的示范区、开放合作的先行区、高端产业集聚发展的引领区、宜业宜商宜居的现代化产业新城为目标，全力建设德阳经济发展的新高地和城市建设的未来版，到2020年建设成为引领创新发展干亿产业新城。截止2018年底，园区聚集工业企业493户，其中规上工业企业127户，2018年园区规上工业企业工业产值609.8亿元，同比增长15%,实现利润20.3亿元，同比增长37.6%。德阳经开区是联合国“清洁技术与新能源装备制造业国际示范城市”挂牌园区、全国首批“国家新型工业化产业示范基地”、全国首个“重大技术装备制造业基地”、“国家应急装备产业示范基地”、国家循环化改造示范试点园区、国家高端装备制造业标准化试点园区、四川省生态工业园区。
59	四川什邡经济开发区	S517061	德阳市什邡市蓝天大道附近	104.116748,31.195589	德阳市	省级园区	经开区	新材料	食品、化工、金属制品产业	四川什邡经济开发区位于四川省德阳市什邡市，是2010年5月18日经省人民政府批准设立的省级经济开发区，其规划控制区四至范围：东临石亭江、南至人民渠、西与北京大道交界、北至洛水镇南元村。目前建成了“九纵七横”道路共38.5公里，园区交通主干道基本形成；日供水量8万方的三水厂、110变电A站、日供气能力为30万立方米的天然气配气站一期工程以及日污水处理能力1万立方米的灵江污水处理厂，可为企业提供道路、给水、排水、供电、供气、通邮、通信、宽带、有线电视和土地平整等“九通一平”的配套服务。截至2018年底，经开区聚集工业企业181家，其中规上工业企业107家。2018年实现工业总产值268.91亿元（不含烟厂），同比增长13.87%,实现利润16.46亿元，同比增长18.16%。2012年12月，经开区被省科技厅确定为“四川省首批特色高新技术产业化基地”；2013年3月，被中关村授牌为“中关村科技产业基地”；2013年7月，被省人民政府列为“51025重点发展产业园区”，2016年8月被省经信委确定为“四川省第一批特色产业基地”。
60	康藏现代农牧产业加工贸易园区	---	四川省甘孜藏族自治州理塘县康藏现代农牧业加工贸易园区规划二路20号	100.261507,29.983886	甘孜州	其他重点园区	工业园区	农产品精深加工	农产品加工产业	康藏现代农牧产业加工贸易园区位于理塘县高城镇，总体概念规划9.03平方公里（13545亩），分三期建设：第一期康藏现代农牧产业加工贸易园区，规划面积为3.22平方公里；第二期商贸物流中心，为承接川藏铁路、川藏高速的建设，使理塘成为“一带一路”面向南亚开放合作的桥头堡，规划面积为2.9平方公里；第三期通航产业基地，规划面积为2.91平方公里。目前，建设重点为康藏现代农牧产业加工贸易园区起步区，面积为1083亩。建设内容包括：现代农牧产品加工区；中藏医药制造加工区；民族手工艺品制造加工区；大型汽修汽配中心；园区科研中心；康南地区面向南亚地区的物流集散中心。
61	康南乡城县特色农产品加工集中发展园区	---	巴姆南路2号	99.80475,28.936987	甘孜州	其他重点园区	工业园区	农产品精深加工,医药健康	农畜产品加工、医药产业	康南乡城县特色农产品加工集中发展园区位于甘孜州乡城县，2011年经甘孜州人民政府批准成立，以农产品精深加工为主的园区，分A、B两区。A区紧邻青德镇政府驻地，位于豆改村和仲德村村域范围内，规划面积约110亩。B区紧邻尼斯镇，与乡城县城隔河相望，规划面积约626.4亩。园区核心区完成供排水、电、道路建设，累计完成投资3600万元，园区共有正式入驻企业9户(A区核心区3家、B区6家)，其中规上企业1户。企业产品涵盖松茸野生食用菌系列、苹果醋、松茸虫草保健酒、蓝莓系列、葡萄酒、青裸茶、果茶、中藏药饮片等，2018年园区实现产值1.87亿元，同比增长37%。
62	成甘工业园区	---	成都市邛崃市泉水东街中国石油邛崃泉水加油站东侧约40米	103.686902,30.405221	甘孜州	省级园区	工业园区	智能装备,新能源与智能汽车,新材料	新能源、新材料、智能制造产业	2015年12月18日,成都市和甘孜州签署《共建成甘工业园区合作协议》，园区选址位于邛峡市羊安镇。规划面积10平方公里，重点发展新能源、新材料和智能制造产业，并积极承接广东省对口帮扶甘孜州的产业转移。目前，园区规划环评已通过审查，园区总体规划、控制性详细规划、产业发展规划、竖向及排水规划编制已完成。先后引进国民天成、云南城投、天津爱敏特、融捷锂盐等重大项目14个，总投资达425.1亿元，并投入20.36亿元实施14个关键基础设施项目,羊纵七线道路已全线竣工通车，正开展园区承载能力建设相关工作，2018年11月26日爱敏特项目投入生产。
63	邻水县高滩川渝合作示范园	---	广安市邻水县G210与平安路交叉路口往西北约240米	106.745345,30.04295	广安市	其他重点园区	高新区	新能源与智能汽车	新能源汽车产业	邻水县高滩川渝合作示范园位于广安市邻水县高滩镇，是广安市重要经济增长极，地处成渝经济圈产业带。成立于2012年12月，规划面积19.05平方公里，建成区面积5平方公里。四至范围：东至高滩镇宝竹寺村,西至高滩镇倒碑村，南临重庆渝北，北至高滩镇棉花村。园区按产城一体与城市规划建设，配套建设有污水处理厂、供水厂、廉租房等基础设施。截至2018年底，园区聚集工业企业63户，其中规上工业企业15户，2018年园区工业产值30.23亿元、同比增长45.6%，营业收入28.6亿元、同比增长39%，实现利润1.14亿元、同比增长23%。园区被授予重庆空港工业园区配套产业园。
64	四川岳池经济开发区	S517107	广安市岳池县银城大道广安益民职业技术学校北侧约120米	106.461559,30.525319	广安市	省级园区	经开区	农产品精深加工,医药健康	农副食品、医药、机械产业	四川岳池经济开发区位于广安市岳池县城南侧，是广安市重要经济增长极，地处成都两小时、重庆一小时经济圈。四川岳池经济开发区成立于2003年11月，规划建成面积30.2平方公里,建成拓展面积约15平方公里。2018年2月作为省级开发区纳入《中国开发区审核公告目录》（2018年版）；目前省政府已批复四川岳池经济开发区为省级开发区。四至范围为：区块一东至麻柳河，南至白塔村，西至白鹤桥村，北至银城大街；区块二东至火盆山村，南至白塔村，西至麻柳河，北至银城大街；区块三东至火盆山村、狮子坡村，南至长滩寺河，西至白塔村，北至白塔村。经开区按产城一体与城市规划建设，除“七通一平”硬件基础设施配套外，园区已完成规划环评、专业污水处理系统、天然气分布式能源、多电源双回路电网、生物医药孵化器、药物临床试验机构等专业配套建设，正在推进固危废处理站、药物研究院、药学院、第三方检测机构、医药产业发展基金等配套建设，园区软硬配套、承载能力在成渝地区保持领先地位。截至2018年底，园区聚集工业企业112户，其中规上工业企业61户，2018年园区规上工业企业工业产值201.2亿元、同比增长15.6%，营业收入197.2亿元、同比增长14.6%，实现利润14.1亿元、同比增长13.5%。近年来，园区增挂川渝合作（广安）医药产业示范园、省级经济开发区、省级（医药）特色产业基地、省级药品上市许可持有人制度试点示范区、省级生产性服务业功能示范区、省级专家服务基地示范点、川商产业园等荣誉，正在争取省级、国家级医药高新技术产业园，打造西部医药健康城。
65	四川武胜经济开发区	S517108	广安市武胜县创业路与富裕路交叉路口往东南约70米	106.322696,30.362466	广安市	省级园区	经开区	智能装备,农产品精深加工,医药健康	金属制品、农副食品加工、医药产业	四川武胜经济开发区位于广安市武胜县，地处川渝结合核心部，广安、合川、潼南、遂宁、南充五个城市几何中心。2018年2月，四川武胜经济开发区纳入《中国开发区审核公告目录》（2018年版）。开发区规划面积8.40平方公里，开发区涵盖广武路工业带及街子工业园区2个区块，着力构建“221”工业产业体系，加快发展农产品生产加工、装备制造2个百亿级产业，节能环保及新材料、生物医药2个新兴产业，积极发展数字经济新业态。街子工业园区四至范围为地块三东至小溪河沟、奶子山村，南至字库村，西至屏风村、柏树垭村，南渝高速（G75）,北至米市村；地块四东至街子镇山河片村、干坝子村，南至干坝子村，西至奶子山村、小溪河沟，北至米市村、山河片村，是四川省节能环保产业六大基地、四大园区之一，重点发展食品加工、机械电子、节能环保，着力打造产业特色鲜明、极具发展潜力的工业新城。广武路工业带四至范围为地块一东至沿口镇马颈寨村、跃进桥村、科研村、叶家山村、两路口村，南至沿口镇石板井村、旧县乡老水沟村，西至县看守所、人民北路，北至沿口镇武中村、两路口村、城郊村；地块二东至新跃水库、五一村，南至广武路，西至长滩寺河，北至长滩寺河，重点发展以火锅为特色的农产品加工业，努力构建从原料种植到底料及食材加工、从检验检测到产品研发、从仓储冷链物流到展示交易和消费体验的火锅产业生态圈，建设集基地建设、加工转化、技术研发、现代物流、营销平台为一体的火锅产业园。截至2018年底，园区聚集工业企业107户，其中规上工业企业69户，2018年园区规上工业企业工业产值274亿元，同比增长21.79%，营业收入274.2亿元、同比增长25.54%，实现利润9.5亿元、同比增长17.39%。园区先后成功创建为国家小型微型企业创业创新示范基地、四川省新型工业化产业示范基地、四川省生产性服务业功能示范区、四川省特色产业示范基地、四川省首批15个重点电子商务产业集聚区。
66	四川华蓥山经济开发区	S517110	广安市华蓥市广华大道三段华蓥市农产品综合批发市场南侧约80米	106.737292,30.389814	广安市	省级园区	经开区	智能装备,新材料,软件与信息服务	电子信息、机械、建材产业	四川华蓥山经济开发区位于广安华蓥市，是华蓥市重要经济增长极，地处成渝经济圈、重庆1小时经济圈。成立于2014年9月，于2018年2月纳入《中国开发区审核公告目录（2018年版）》，现已正式成立“四川华蓥山经济开发区”（四川华蓥山经济开发区管理委员会于2019年3月挂牌）,开发区设立核准面积4.2233平方公里，建成区面积4平方公里。四至范围为：工业发展区东至前进村，西至明月村、白鹤嘴村，南至鼎足村、长田坎村，北至广华大道社区；大宗货物加工园区东至视子沟村，西至花庙嘴村，南至谭家桥村，北至宋家垭村；对渝合作园区东至渔槽村，西至回龙桥村，南至觉庵村，北至渔槽村。经开区按产城一体与市域规划建设，配套建设有220KV变电站、污水处理厂、科技孵化器、人才公寓等基础设施。截至2018年底，园区聚集工业企业147户，其中规上工业企业95户，2018年园区规上工业企业工业产值281.34亿元、同比增长23.5%，营业收入271.25亿元、同比增长25.1%，实现利润29.82亿元、同比增长19.5%。园区先后被授予“四川省首批新型工业化产业示范基地、四川省首批小企业创业示范基地、四川省电子信息产品外贸出口示范基地和循环经济示范园区、四川省产业园区园保贷首批试点园区、四川省信息安全产业示范园区、电子信息行业重点推介产业园区”等称号。
67	川渝合作示范区广安枣山物流商贸园区	---	四川省广安市广安区站前大道163号	106.60909,30.450884	广安市	其他重点园区	经开区	节能环保,新一代网络技术,软件与信息服务	新一代信息技术、生产性服务产业	川渝合作示范区广安枣山物流商贸园区（以下简称枣山园区）位于广安市主城区西南部，东邻官盛新区，南邻遂广高速齐福收费站，西邻岳池县大石乡，北邻小平故里核心区，位于沪蓉、巴广渝和广武遂高速公路交汇区域，兰渝铁路广安支线纵贯园区,是广安“东进西出”的重要通道。枣山园区于2013年3月筹建，2013年8月正式成立，根据市委、市政府授权，代管广安区广门乡、枣山镇及万盛办事处长乐、马石梯社区；2016年4月代管广安区穿石乡及岳池县红庙办事处;2017年1月10日,市委决定将神龙山片区整体划转园区代管。枣山园区幅员面积101平方公里，辖穿石乡、广门乡、枣山镇、红庙办事处，共30个社区、13个村，现有人口10余万人。枣山园区规划用地面积36平方公里，核心区19.14平方公里，建成5纵8横骨架路网38公里。园区现规划并建成拥有广安南站、广安长途汽车客运枢纽站、广安公交总站和云轨基地，形成了立体式、无缝换乘大交通格局。园区以广安南站为中心，周边规划建成有枣彭路、广武路、广高路等快速大通道，形成了四通八达的城乡路网。截至2018年底，规上工业企业5户，2018年园区规上工业企业工业产值3.6亿元、同比增长32%，营业收入2.7亿元、同比增长1%，实现利润1500万元、同比增长10%。
68	广安经济技术开发区	G511197	广安市前锋区奎阁大道与朝阳大道3段交叉口东南150米	106.672136,30.479854	广安市	国家级园区	经开区	清洁能源,绿色化工,新一代网络技术,数字经济	电子机械、建材、医药产业	广安经济技术开发区位于广安东部，是广安市重要经济增长极，国家级承接产业转移示范区、四川省唯一的川渝合作示范区和四川省气盐结合的精细化工基地。设立于1995年7月，1996年1月经四川省人民政府批准为省级开发区，2006年1月经国家发改委、国土资源部和建设部审核保留为省级经济开发区，2010年6月经国务院批准为国家级经济技术开发区，位于广安市东部，现规划面积110平方公里，下辖新桥工业园区、奎阁工业园区和临港工业园区。经开区按产城一体与城市规划建设，配套建设有110KV变电站、污水处理厂、科技孵化器、人才公寓等基础设施。截至2018年底，园区规上工业企业49户，营业收入94.5亿元，同比增长33.2%，实现利润4.7亿元，同比增长76.2亿元。园区先后被四川省确定为川东北能源化工基地、气盐结合精细化工基地、新型工业化产业示范基地，并被授予“1525”特色园区（全省重点培育的千亿园区），全国循环化改造示范点园区。
69	四川广安临港经济开发区	S517106	四川省广安市广安区	106.689756,30.445849	广安市	省级园区	经开区	清洁能源,农产品精深加工	电力、农副食品、包装产业	四川广安临港经济开发区位于广安市广安区，是广安区重要经济增长极，地处川渝合作示范区（广安片区）滨江新区核心区块。成立于2014年2月，规划面积5.88平方公里，建成区面积4.74平方公里。开发区四至范围为：东至官盛镇官盛村、西至中桥外塔村和肖家村界、南至中桥与方坪交界、北至渠江。截至目前，基础设施较为完善，水、电、气供应充足，价格优惠，适宜企业发展，为企业落户提供了供水、排污、电力、天然气、通讯、光纤等功能齐备的配套设施。截至2018年底，园区聚集工业企业40户，其中规上工业企业20户，2018年园区规上工业企业工业产值26.98亿元、同比增长12%，营业收入26.77亿元、同比增长12%，实现利润3.48亿元、同比增长10%。
